,Name,link,Description,Auther,Category,Dar Al Nashr
1428,كتاب حضارة العرب في الأندلس,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ad%d8%b6%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%b9%d8%b1%d8%a8-%d9%81%d9%8a-%d8%a7%d9%84%d8%a7%d9%86%d8%af%d9%84%d8%b3-pdf/?view=read, الحضارة العربية في ال ندلس حروف تاريخية في خيال را ع عبد الرحمن البرقوقي رحلة تجوب البحر ال بيض المتوسط من ال سكندرية لى سبانيا تصف حداث ا تاريخية واجتماعية مهمة على لسان الراوي رحالة مصري من خيال الم لف لطالما كانت الحضارة العربية في ال ندلس مصدر انبهار و لهام لكثير من الكتاب ومنهم عبد الرحمن البرققي الذي عجب بالنهضة التي شهدتها البلاد في عهد عبد الرحمن الناصر ثامن حكام الدولة ال موية في ال ندلس و ول خلفا قرطبة بعد علان الخلافة حيث قاموا ساطيل وسفن تجارية تهتم بعرض البضا ع وتبادلها مع خرين من دول الشرق ومن بين هذه السفن سفينة تمر عبر البلدان المطلة على البحر ال بيض المتوسط وهي السفينة التي وجد الم لف طريقه فيها واستخدم معلوماته التاريخية عن ال ندلس وكتب هذا الكتاب مستخدما خياله لوصف رحلة البحر ال بيض المتوسط على على متن هذه السفينة يلتقي المسافر خلالها بالعديد من الشخصيات التاريخية ويروي ال خبار ويروي الحكايات وينقل الملاحظات في رسالتين الرسالة ال ولى هي من ال سكندرية لى لمرية والرسالة الثانية من لمرية لى قرطبة وهذا ملخص كتاب حضارة العرب في الاندلس,عبد الرحمن البرقوقي,['أدب الرحلات'],مؤسسة هنداوي
1414,كتاب الرحلة الشامية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%b1%d8%ad%d9%84%d8%a9-%d8%a7%d9%84%d8%b4%d8%a7%d9%85%d9%8a%d8%a9-pdf/?view=read, الرحلة الشامية محمد علي اعتاد بعض المثقفين في وا ل القرن العشرين القيام برحلات علمية وترفيهية يجوبون فيها العديد من البلدان ويتعرفون على ثقافات جديدة الخيول ومتعتها لكنه ترك لنا ثرا دبيا يعبر بصدق عن الفترة التي كانت فيها الدول العربية تستعد لثورتها بعد ن عاشت سنوات هزيلة شرت على نهاية الخلافة العثمانية بال ضافة لى اهتمامه بالخيول كان شغوف ا بالعلوم وحث على المثابرة في طريقه وحرص خلال رحلته على زيارة المدارس ومقابلة الطلاب المصريين هناك وحثهم على تحقيق هدفهم في النهوض ب وطانهم وتحريرها وليس النفوذ والسلطة وهذا ملخص كتاب الرحلة الشامية,الكاتب محمد علي,['أدب الرحلات'],مؤسسة هنداوي
1403,كتاب الرحلة اليابانية محمد علي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%b1%d8%ad%d9%84%d8%a9-%d8%a7%d9%84%d9%8a%d8%a7%d8%a8%d8%a7%d9%86%d9%8a%d8%a9-%d9%85%d8%ad%d9%85%d8%af-%d8%b9%d9%84%d9%8a-pdf/?view=read, الرحلة اليابانية محمد علي محمد علي بعد سنوات قليلة من انتصار اليابان على روسيا عام م قرر ال مير محمد علي الانطلاق في رحلة طويلة لى اليابان يستطيع فيه تحديد سباب صعود قوة ذلك البلد ودراسة مظاهر نهضتها وتقدمها انطلق ال مير في رحلته في ال ول من بريل م انطلاق ا من ال سكندرية متوجه ا لى موسكو عبر يطاليا والنمسا ثم ركوب القطار في سيبيريا للوصول لى ال رخبيل الياباني والدول المجاورة حيث قطع مسافات يبلغ مجموعها خمسة وعشرون لف ا كيلومترات في فترة شهرين ونصف ال مير في تسجيله للرحلة اليابانية غير راض عن ملاحظاته وما عاشه من ظروف البلاد وشعبها بل يضيف لى تلك الخلفيات التاريخية والجغرافية الدقيقة و لى كل هذا يضفي عليه طابعه الفلسفي والر ية الت ملية التي يصوغها بلغة واضحة و سلوب جذاب وهذا ملخص كتاب الرحلة اليابانية محمد علي,الكاتب محمد علي,['أدب الرحلات'],مؤسسة هنداوي
1406,كتاب الواسطة في احوال مالطة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%88%d8%a7%d8%b3%d8%b7%d8%a9-%d9%81%d9%8a-%d8%a7%d8%ad%d9%88%d8%a7%d9%84-%d9%85%d8%a7%d9%84%d8%b7%d8%a9-pdf/?view=read, الواسطة في احوال مالطة احمد فارس الشدياق تقع مالطا في البحر ال بيض المتوسط جنوب يطاليا وشمال ليبيا في ذلك الموقع الاستراتيجي في وسط القارات الثلاث للعالم القديم ويتحدث عنها حمد فارس الشدياق في كتابه الذي لدينا والذي لفه بعد زيارة قام بها في منتصف القرن التاسع عشر لهذا البلد ال فريقي والجغرافيا ال وروبية والثقافة والعاطفة بد ا بخلفية تاريخية وجغرافية موجزة يتعامل الم لف مع عدة جوانب في وصف مالطا وطبيعتها الديموغرافية وظروف سكانها في ذلك الوقت وعاداتهم و خلاقهم ولغتهم التي ت ثرت باللغات التي يتحدثون بها هم من العربية والفينيقية وال يطالية وكذلك استخدامهم للاقتصاد وال دب الاستعماري للبلاد وكذلك استخدامهم للاقتصاد وال دب الاستعماري وكذلك لغة وفن البلد الاستعماري حكم اللغة ال نجليزية وهذا ملخص كتاب الواسطة في احوال مالطة,أحمد الشدياق,['أدب الرحلات'],مؤسسة هنداوي
1426,كتاب برلين مدن العالم الكبرى,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a8%d8%b1%d9%84%d9%8a%d9%86-%d9%85%d8%af%d9%86-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%a7%d9%84%d9%83%d8%a8%d8%b1%d9%89-pdf/?view=read, برلين عظم مدن العالم فرج جبران لم ر بد ا في حياتي وفي رحلاتي المختلفة مدينة مثل هذه منذ شهور قاتلت القوى العظمى من جلها في جنيف وترك وزرا خارجية المدن ال ربع الكبرى واجباتهم في عواصمهم وتخصصوا في دراسة المشكلة من هذه المدينة قد يقال عنها الكثير وينتقل خبرها فنستغرب من التناقض والارتباك الذي وصلت ليه ولكن الشهادة غير الرواية والحكاية فقط من عاشها يستطيع تقانها في عام زار الكاتب فرج جبران برلين في جز ها الشرقي والغربي ونقل لينا في هذا الكتاب معاناة ال لمان بعد غزو جيوش الحلفا برلين عاصمة الرايخ وتقسيمها لى شرقي وغربي ال ول يخضع لت ثير الاتحاد السوفيتي الذي سس نظام ا استبدادي ا قمعي ا يطبق الشيوعية والثاني هو الر سمالية ذات الاقتصاد المفتوح والحر الذي ازدهرت فيه الحريات مما دى لى تدفق ال لاف من ال لمان الشرقيين لى الجانب الغربي للهروب من الجحيم ينقل الكاتب هنا ما ر ه من تناقضات فكرية وثقافية واقتصادية وسياسية على الجانبين وهذا ملخص كتاب برلين مدن العالم الكبرى,الكاتب فرج جبران,['أدب الرحلات'],مؤسسة هنداوي
1408,كتاب بيروت ولبنان منذ قرن,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a8%d9%8a%d8%b1%d9%88%d8%aa-%d9%88%d9%84%d8%a8%d9%86%d8%a7%d9%86-%d9%85%d9%86%d8%b0-%d9%82%d8%b1%d9%86-pdf/?view=read, بيروت ولبنان منذ قرن ونصف القرن هنري جاس ترجمه مارون عبود دب الرحلات هو حد هم مصادر المعرفة ل ن الذي يكتبها هو شاهد عيان دون ما ر ه بعين لا تنتمي للمكان هذا ما فعله هنري جيز الذي كتب كل شي عن لبنان بما في ذلك العادات والتقاليد والعادات كتاب بيروت ولبنان لا غنى عنه ل ي باحث في تاريخ لبنان خاصة والشام عامة في تلك الحقبة لم يترك ي شي دون ن يخبرنا بذلك لكن الكتاب لا يخلو من نزعة استشراقية ينظر الم لف من خلالها لى العرب بتفوق غربي ينبع هذا الر ي من حقبة استعمارية كانت فرنسا فيها حد هم ال قطاب على الرغم من ذلك يظل كتابه مفيد ا جد ا ل نه يشرح لنا المجتمع اللبناني من وجهة نظر استعمارية فرنسية وهذا ملخص كتاب بيروت و لبنان منذ قرن,هنري غيز,['أدب الرحلات'],مؤسسة هنداوي
1419,كتاب تعال معي الى باكستان,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%aa%d8%b9%d8%a7%d9%84-%d9%85%d8%b9%d9%8a-%d8%a7%d9%84%d9%89-%d8%a8%d8%a7%d9%83%d8%b3%d8%aa%d8%a7%d9%86-pdf/?view=read, تعال معي لى باكستان فرج جبران نالت دولة باكستان استقلالها السياسي بعد صراع مرير راق فيه دما بنا شبه القارة الهندية بمن فيهم المسلمين والهندوس والسيخ وغيرهم ضد ال مبراطورية البريطانية الاستعمارية لجعل باكستان كبر دولة بلد مسلم في العالم دت الاختلافات الثقافية والدينية الكبيرة بين بنا الهند لى تفضيل قادة النضال المسلمين مثل القا د ال عظم محمد علي جناح خيار قامة دولة تضم مسلمي الهند و باكستان و خرى تشمل الهندوس الهند على الرغم من ن هذا الحل لم يمنع ظهور العديد من النزاعات والصراعات المسلحة بين البلدين خاصة بعد ن تم ارتكاب ظلم واضح في باكستان في تقسيم الموارد الما ية وغيرها وكذلك المشاكل التي انتشرها ولفقها الاستعمار قبله الرحيل مثل الصراع على كشمير ليضاف لى التحديات ال خرى التي واجهت الدولة الوليدة ال مية واللاج ين والسعي الد وب لبنا جيش حديث قا م على اقتصاد قوي وهذا ملخص كتاب تعال معي الى باكستان,الكاتب فرج جبران,['أدب الرحلات'],مؤسسة هنداوي
1430,كتاب جزيرة رودس,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d8%b2%d9%8a%d8%b1%d8%a9-%d8%b1%d9%88%d8%af%d8%b3-pdf/?view=read, جزيرة رودس جغرافيتها وتاريخها و ثارها يليها ملخص تاريخي ل شهر جزر بحر يجه حبيب غزالة تعد جزيرة رودس من شهر الجزر اليونانية الواقعة على البحر ال بيض المتوسط وقد نجحت القبا ل في استيطان الجزيرة ولعل شهر حوادثها الحرب التي دارت بين الجيش العثماني بقيادة السلطان محمد الفاتح والفرسان شفالي واستمرت هذه الحرب ثلاثة شهر وانتهت بهزيمة العثمانيين لكنها لم تدم طويلا بعد ن تولى السلطان سليمان القانوني عرش ال مبراطورية العثمانية قرر تعزيز قوته البحرية وحاصر الجزيرة حتى يتمكن من السيطرة عليها في هذا الكتاب القيم يروي لنا الكاتب الحبيب غزالة تاريخها ويوضح حدودها الجغرافية و ثارها كان حبيب غزالة بك قد سافر في عام م لى الجزيرة للترفيه عن المدينة واكتشافها ونظرا لروعتها وسحرها بجمالها قرر تدوين تفاصيلها ودراسة تاريخها معتمدا على جمع المعلومات عنها في القدم وال دب الحديث هذا الكتاب هو مثال را ع ل دب السفر التاريخي والتعليمي وهي ملي ة بالصور التي توضح تفاصيل ال ثار بال ضافة لى الشروح المصاحبة لها وهذا ملخص كتاب جزيرة رودس,حبيب غزالة,['أدب الرحلات'],مؤسسة هنداوي
1415,كتاب جولة في ربوع افريقية,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d9%88%d9%84%d8%a9-%d9%81%d9%8a-%d8%b1%d8%a8%d9%88%d8%b9-%d8%a7%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a9-pdf/?view=read, جولة في ربوع افريقية بين مصر ور س الرجا الصالح محمد ثابت يخبرنا الكاتب عن ملاحظاته عبر القارة ال فريقية تلك القارة التي تشكلت طبيعتها ب صابع الغريزة وتحاصرها براثن الطموحات الاستعمارية يشرح لنا الكاتب الطبيعة الجغرافية والاقتصادية والزراعية والاجتماعية لسكان هذه القارة وذلك من خلال الملامح التاريخية التي يبد بها الكاتب الحديث عن بلدانهم بما في ذلك هم محاصيلهم ونباتاتهم وحيواناتهم ومبانيهم ومعادنهم وال ثار الثقافية للدول الاستعمارية في بعض بلدان هذه القارة كما شار لى ت ثير العرب على هذه القارة خلال مجدهم ال ول وتحدث الكاتب عن المعتقدات الخرافية لعدد من سكان هذه القارة واللهجات المتداولة بينهم والصراعات العرقية التي ساهمت في تفتيت تلك القارة الكتاب يشبه البوصلة السياحية التي تفيد في التعرف على ملامح القارة ال فريقية التي قدر القدر ن تكون غنية بقدراتها فقيرة في عقلها با سة في مصيرها ك ن فمها يقول ثروة ساطعة والمصير السي مزيج م لم وهذا ملخص كتاب جولة في ربوع افريقية,محمد ثابت,['أدب الرحلات'],مؤسسة هنداوي
1411,كتاب جولة في ربوع الدنيا الجديدة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d9%88%d9%84%d8%a9-%d9%81%d9%8a-%d8%b1%d8%a8%d9%88%d8%b9-%d8%a7%d9%84%d8%af%d9%86%d9%8a%d8%a7-%d8%a7%d9%84%d8%ac%d8%af%d9%8a%d8%af%d8%a9-pdf/?view=read, جولة في ربوع الدنيا الجديدة بين مصر وال مريكتين محمد ثابت الرحلة مرتبطة بتاريخ ال نسان منذ العصور القديمة ك ول رحلة يقوم بها ال نسان هي رحلة دم من جنات الفردوس لى سطح ال رض دب السفر هو سرع و رخص طريقة يمكننا من خلالها السفر حول العالم دون تحريك صبع لديها ميزة الحصول على جميع المعلومات التي نحتاجها حيث يسجل السا ح ملاحظاته وتحليلاته الدقيقة لكل ما يراه يوضح لنا محمد ثابت رحلته من شمال فريقيا لى مريكا الشمالية مرورا ب مريكا الجنوبية من خلال ملاحظة ملاحظاته وملاحظاته التي حلل فيها ثار الثقافة العربية والاستعمار الغربي في هذه المجتمعات كما سجل الم لف عجابه بالحضارة الغربية متمنيا ن يصل العرب لى ما حققته هذه المجتمعات وهذا ملخص كتاب جولة في ربوع الدنيا الجديدة,محمد ثابت,['أدب الرحلات'],مؤسسة هنداوي
